,author,year_birth,year_dead,title,year_published,num_sentences,num_tokens,num_lemmas,longest_sentence,longest_word
0,Jakub Arbes,1840,1914,Ďábel na skřipci,1869,813,12141,3181,66,18
0,Jakub Arbes,1840,1914,Elegie o černých očích,1867,242,4434,1436,64,16
1,Jakub Arbes,1840,1914,Svatý Xaverius,1873,1234,26864,3846,115,18
2,Jakub Arbes,1840,1914,Sivooký démon,1873,2176,39177,4837,86,30
3,Jakub Arbes,1840,1914,Zázračná madona,1875,1996,37962,5016,130,19
4,Jakub Arbes,1840,1914,Ukřižovaná,1876,2088,45739,5264,113,18
5,Jakub Arbes,1840,1914,Newtonův mozek,1877,1077,25298,4218,105,21
6,Jakub Arbes,1840,1914,Akrobati,1878,1951,38159,4666,156,24
0,Jakub Arbes,1840,1914,Etiopská lilie,1879,3573,76060,7107,126,25
1,Jakub Arbes,1840,1914,Šílený Job,1879,1644,40768,4475,129,22
2,Jakub Arbes,1840,1914,Můj přítel vrah,1879,1547,42626,4330,192,19
3,Jakub Arbes,1840,1914,Aspoň se pousměj,1885,1335,33893,4542,142,21
4,Jakub Arbes,1840,1914,Dva barikádníci,1885,1209,33777,4579,205,19
0,Jakub Arbes,1840,1914,Zborcené harfy tón,1886,2836,76084,7243,194,22
1,Jakub Arbes,1840,1914,První noc u mrtvoly,1886,303,8861,1919,134,16
2,Jakub Arbes,1840,1914,Il divino Boemo,1886,529,14010,2770,122,20
3,Jakub Arbes,1840,1914,Anna a Marie,1887,1633,46555,5564,282,22
0,Jakub Arbes,1840,1914,Vymírající hřbitov,1900,824,24625,4610,179,18
1,Jakub Arbes,1840,1914,Kandidáti existence,1878,3145,78398,7033,186,21
2,Jakub Arbes,1840,1914,Adamité,1882,2333,59565,6025,233,22
0,Jakub Arbes,1840,1914,Anděl míru I,1900,1805,41562,5421,119,22
1,Jakub Arbes,1840,1914,Anděl míru II,1900,1885,42310,5303,137,21
2,Jakub Arbes,1840,1914,Anděl míru III,1903,2071,46076,5905,126,20
3,Jakub Arbes,1840,1914,Anděl míru IV,1903,2793,57130,6658,137,22
0,Jakub Arbes,1840,1914,Moderní upíři,1882,3560,89672,6414,139,22
1,Jakub Arbes,1840,1914,Agitátor,1905,2770,65650,6867,138,21
0,Karel Hynek Mácha,1810,1836,Márinka,1834,184,4687,1337,95,15
